Código,Imagen,Categoría,Enlace,Name,Precio,Talla,Color
EP_00014,Buzo Celenerayas,Buzo,https://drive.google.com/uc?export=view&id=1ef_uy9vYbBsgtDEAT73mvkYmlxoskqML,00014_BUZO_CELENERAYAS.png,50000,Única,"Beige, Azul, Gris"
EP_00015,Camiseta Dante,Camiseta,https://drive.google.com/uc?export=view&id=1MMJmrblIkQnQ4NENLaWuJlakl_xG9BR5,00015_CAMISETA_DANTE.png,50000,Única,"Negro, Azul, Vino Tinto, Beige, Rosado, Blanco"
EP_00016,Blusa Braid,Blusa,https://drive.google.com/uc?export=view&id=1QKvjUnblAdy7eyKRE8K8GkzPRcNvsmlb,00016_BLUSA_BRAID.png,100000,S-M-L,"Blanco, Beige, Negro"
EP_00017,Blusa Lala,Blusa,https://drive.google.com/uc?export=view&id=1fp8Rbaqscbb9Df0UsoOETypYxGosAquh,00017_BLUSA_LALA.png,90000,Única,Violeta
EP_00018,Camisa Elodiа,Camisa,https://drive.google.com/uc?export=view&id=15OHz_Q-EE58VP5IhOtseDkT0WvFvvnyW,00018_CAMISA_ELODIА.png,110000,S-M-L,"Blanco, Azul Claro"
EP_00019,Camisa Beyonce,Camisa,https://drive.google.com/uc?export=view&id=1NNgLVDGg66RSjvHZxxgM1VFkDwPAX6dc,00019_CAMISA_BEYONCE.png,90000,Única,Negro
EP_00020,Camisa Bray,Camisa,https://drive.google.com/uc?export=view&id=1knETz8_0WSN1j3R_yW5TJjo9HKKSygT3,00020_CAMISA_BRAY.png,105000,Única,"Lila, Fucsia"
EP_00021,Camisa Valery,Camisa,https://drive.google.com/uc?export=view&id=1gI6GRh7TClnTsiy_4wukX61f9xY5Rm2c,00021_CAMISA_VALERY.png,95000,S,Beige
EP_00022,Camisa Paloма,Camisa,https://drive.google.com/uc?export=view&id=11ExDZbOPihkt9c0PfztTM3KfHVrrbN7o,00022_CAMISA_PALOМА.png,90000,Única,"Fucsia, Verde, Lila, Azul Claro, Cafe, Morado"
EP_00023,Camisa Ferreiro,Camisa,https://drive.google.com/uc?export=view&id=1K-ev25gDqqMxF6C_ncwCEOrgM7SJyKnl,00023_CAMISA_FERREIRO.png,100000,Única,"Amarillo, Morado, Fucsia"
EP_00024,Camisa García,Camisa,https://drive.google.com/uc?export=view&id=15l6w3qGy6c2Y-1j3HUcttlHsE-OnewDG,00024_CAMISA_GARCÍA.png,95000,S-M,"Blanco, Amarillo, Verde Claro"
EP_00025,Camisa Antonieta,Camisa,https://drive.google.com/uc?export=view&id=1kBeG7sR2HpM6WkrqvVv4A4aMqwd4x8kr,00025_CAMISA_ANTONIETA.png,70000,Única,"Azul, Negro"
EP_00026,Blusa Jerseynautic,Blusa,https://drive.google.com/uc?export=view&id=1A7u0dk4V8A1CtZWPKn7AJJ39RabqTMyY,00026_BLUSA_JERSEYNAUTIC.png,75000,Única,"Beige, Rojo, Verde, Azul"
EP_00027,Blusa Jerseynauticbrillos,Blusa,https://drive.google.com/uc?export=view&id=1bYdi8dnQd-dO1w9W4UINU2R4dRQMOxWe,00027_BLUSA_JERSEYNAUTICBRILLOS.png,60000,Única,"Rosado, Negro, Vino Tinto, Verde"
EP_00028,Bluson Turquesa,Bluson,https://drive.google.com/uc?export=view&id=1qKd0QyCc6q33lroe0Wiouu3SoNiTxlMS,00028_BLUSON_TURQUESA.png,125000,Única,Negro
EP_00029,Bluson Barbie,Bluson,https://drive.google.com/uc?export=view&id=1k6WnxDbMzTG54Y0FB7qCYFV0YHP71iLU,00029_BLUSON_BARBIE.png,95000,Única,"Verde Claro, Sapote"
EP_00030,Tejido861,Tejido,https://drive.google.com/uc?export=view&id=1DlM-_VXpXbWijcHvDwqWvVLkeUMGHnzi,00030_TEJIDO861.png,170000,Única,"Negro, Rojo"
EP_00031,Tejido Taylor,Tejido,https://drive.google.com/uc?export=view&id=1O7uWZkwMwp_ycWishcueggOpnEKS2P8t,00031_TEJIDO_TAYLOR.png,45000,Única,"Gris, Vino Tinto, Rosado"
EP_00032,Tejido Cristal,Tejido,https://drive.google.com/uc?export=view&id=1FzwCGkILQvHa2A8K9uTXohuEY1JnqhnH,00032_TEJIDO_CRISTAL.png,65000,Única,Multicolor
EP_00033,Tejido Touch,Tejido,https://drive.google.com/uc?export=view&id=1zfOlFw-a1AnKdU4QGv6RmkrCaMd_CnIM,00033_TEJIDO_TOUCH.png,115000,Única,Cafe - Blanco
EP_00034,Parka Toloza,Chaqueta,https://drive.google.com/uc?export=view&id=1_A_NVtj8wubxyg_vt3LiHEzYEsKWnTLF,00034_PARKA_TOLOZA.png,195000,Única,"Beige, Rosado, Cafe, Verde, Militar, Naranja"
EP_00035,Cazadora Biondi,Chaqueta,https://drive.google.com/uc?export=view&id=1F29amZw3GIpLVLi5Xtndgp7TEH5boe6h,00035_CAZADORA_BIONDI.png,140000,Única,"Rosado, Blanco"
EP_00036,Acolchada 802,Chaqueta,https://drive.google.com/uc?export=view&id=1Ki0h-hLTzIBWmBf0L10RvUcSalBd1TI4,00036_ACOLCHADA_802.png,170000,Única,"Negro, Beige"
EP_00037,Acolchada 899,Chaqueta,https://drive.google.com/uc?export=view&id=1h2JaesSvcHOfMLaZuiJxs4ZP7oe_fu0H,00037_ACOLCHADA_899.png,170000,Única,"Verde, Beige"
EP_00038,Chaqueта Bella,Chaqueta,https://drive.google.com/uc?export=view&id=17jskdqj0_nziZ0FReMrwUBiURvaQHc_4,00038_CHAQUEТА_BELLA.png,100000,Única,"Blanco, Rosado"
EP_00039,Chaqueta Chaleco0690,Chaqueta,https://drive.google.com/uc?export=view&id=11JYJVQBoL4dWmVBK1PWpQhr8sEkky-Am,00039_CHAQUETA_CHALECO0690.png,245000,Única,Jean - Beige
EP_00040,Chaqueta 112,Chaqueta,https://drive.google.com/uc?export=view&id=1NPt7oYqo8qaV9Hj1GdLZ-ROPrYdOtNMf,00040_CHAQUETA_112.png,235000,Única,Negro
EP_00041,Chaqueта 301,Chaqueta,https://drive.google.com/uc?export=view&id=1cZ8tW2dwvcwcg5hEB51g3RWgPsZG9CxD,00041_CHAQUEТА_301.png,245000,Única,"Negro, Beige"
EP_00042,Chamarra Pavel,Chaqueta,https://drive.google.com/uc?export=view&id=1iOvUDMvGrWeplpj5RqQYHfgAoM5d_B0_,00042_CHAMARRA_PAVEL.png,90000,XS-S-M,"Cafe, Rosado, Blanco, Negro"
EP_00043,Chamarra Dolly,Chaqueta,https://drive.google.com/uc?export=view&id=1Qmv9ExoFnuKPxPZN_fODdo2N0nwz2vQE,00043_CHAMARRA_DOLLY.png,140000,S-M-L,Cafe Claro
EP_00045,Chaleco Tiffany,Chaleco,https://drive.google.com/uc?export=view&id=1BTzuafftsHmKVfw61rb_dfGP3cozs-vV,00045_CHALECO_TIFFANY.png,90000,S-M-L,"Cafe, Gris, Marron"
